Word,Count,Difficulty
Applicant,9,medium
Application,11,hard
Alit,4,easy
Alpaca,6,medium
Annal,5,medium
Appall,6,medium
Atilt,5,medium
Call,4,easy
Calla,5,medium
Canal,5,medium
Capital,7,hard
Catalpa,7,hard
Catcall,7,hard
Cattail,7,hard
Cilia,5,medium
Clan,4,easy
Clap,4,easy
Clinic,6,medium
Clinical,8,hard
Clinician,9,hard
Clip,4,easy
Iliac,5,medium
Illicit,7,hard
Initial,7,hard
Italic,6,medium
Italicized,10,hard
Lactic,6,medium
Laic,4,easy
Laical,6,medium
Lain,4,easy
Lanai,5,medium
Lantana,7,hard
Licit,5,medium
Levitate,8,medium
Lilt,4,easy
Lint,4,easy
Nail,4,easy
Natal,5,medium
Pail,4,easy
Palapa,6,medium
Palatal,7,hard
Palatial,8,hard
Pall,4,easy
Palp,4,easy
Papal,5,medium
Papilla,7,hard
Pill,4,easy
Pintail,7,hard
Plain,5,medium
Plaint,6,medium
Plait,5,medium
Plan,4,easy
Plant,5,medium
Plantain,8,hard
Plat,4,easy
Pliant,6,medium
Tactical,8,hard
Tail,4,easy
Talc,4,easy
Tali,4,easy
Tall,4,easy
Tilapia,7,hard
Till,4,easy
Tilt,4,easy
Cede,4,easy
Ceded,5,medium
Cited,5,medium
Cued,4,easy
Deceit,6,medium
Deceive,7,hard
Deceived,8,hard
Decide,6,medium
Decided,7,hard
Deduce,6,medium
Deduced,7,hard
Deduct,6,medium
Deducted,8,hard
Deductive,9,hard
Deed,4,easy
Deeded,6,medium
Deice,5,medium
Deiced,6,medium
Deicide,7,hard
Detect,6,medium
Detection,8,hard
Detective,9,hard
Deuce,5,medium
Device,6,medium
Dice,4,easy
Diced,5,medium
Died,4,easy
Diet,4,easy
Dieted,6,medium
Dietetic,8,hard
Dive,4,easy
Dived,5,medium
Divide,6,medium
Divided,7,hard
Divvied,7,hard
Duct,4,easy
Dude,4,easy
Duet,4,easy
Symbiotic,9,hard
Duvet,5,medium
Eddied,6,medium
Edict,5,medium
Edit,4,easy
Edited,6,medium
Educe,5,medium
Educed,6,medium
Eidetic,7,hard
Etude,5,medium
Charlatan,9,hard
Chauffeur,9,hard
Iced,4,easy
Ivied,5,medium
Teed,4,easy
Tide,4,easy
Tided,5,medium
Tidied,6,medium
Tied,4,easy
Tutted,6,medium
Vetted,6,medium
Vied,4,easy
Vivid,5,medium
Bellmen,7,hard
Bloom,5,medium
Bomb,4,easy
Symbol,6,medium
Foray,5,easy
Bowmen,6,medium
Emblem,6,medium
Lemon,5,medium
Loom,4,easy
Melee,5,medium
Mellow,6,medium
Eggplant,8,medium
Goose,5,easy
Memo,4,easy
Meow,4,easy
Mewl,4,easy
Mole,4,easy
Moll,4,easy
Mono,4,easy
Moon,4,easy
Mown,4,easy
Noblemen,8,hard
Noblewomen,10,hard
Omen,4,easy
Womb,4,easy
Feminine,8,medium
Masculine,9,medium
Continuum,9,hard
